Sno,Country,City,Company,LINKDLN LINK,Website,Tech Need / Problem,EMAIL,CONTACT,Google Maps,Clean_Category,Review
114,India,Jaipur,Kumar Medical,N/A,N/A,N/A,N/A,9829610430,Kumar Medical,Medical,
115,India,Jaipur,Kumar Book Depo,N/A,N/A,N/A,N/A,9829610430,Kumar Book Depo,Store,
116,India,Jaipur,Jivan Nagji & Sons,N/A,N/A,N/A,N/A,9829064173,Jivan Nagji & Sons,Electrician,
117,India,Jaipur,JAIDEVI AGRITECH PVT. LTD,N/A,N/A,N/A,N/A,1412503596,JAIDEVI AGRITECH PVT. LTD,Corporate office,
118,India,Jaipur,Prakash Hardware,N/A,N/A,N/A,N/A,9828151178,Prakash Hardware,Hardware Store,
119,India,Jaipur,Agarwal Pipes And Fitting Store,N/A,N/A,N/A,N/A,9829125171,Agarwal Pipes And Fitting Store,Services,
120,India,Jaipur,Cera Authorized Dealer - Ambika Pipe Traders -,N/A,N/A,N/A,N/A,7976288295,Cera Authorized Dealer - Ambika Pipe Traders -,Services,
121,India,Jaipur,Ambika pipe and fitting store Real Estate,N/A,N/A,N/A,N/A,6375234373,Ambika pipe and fitting store Real Estate,Real Estate,
122,India,Jaipur,Sameer Sanitary & Pipe Fitting Store,N/A,N/A,N/A,N/A,9784224349,Sameer Sanitary & Pipe Fitting Store,Hardware Store,
123,India,Jaipur,Shree Mangal Fitting House,N/A,N/A,N/A,N/A,9950950950,Shree Mangal Fitting House,Hardware Store,
124,India,Jaipur,Sanjay Medicos,N/A,N/A,N/A,N/A,9314999894,Sanjay Medicos,Pharmacy,
125,India,Jaipur,National Durg House,N/A,N/A,N/A,N/A,1412321368,National Durg House,Pharmacy,
126,India,Jaipur,"Garg Electricals- Fan, Water Heater, Geyser, Cooler Supplier, Electrician, Electrical Shop In Mansarovar",N/A,N/A,N/A,N/A,8306638787,"Garg Electricals- Fan, Water Heater, Geyser, Cooler Supplier, Electrician, Electrical Shop In Mansarovar",Electrician store,
127,India,Jaipur,Dilip Enterprises - Electrician Discount Store,N/A,N/A,N/A,N/A,7414821801,Dilip Enterprises - Electrician Discount Store,Real Estate,
128,India,Jaipur,Growel Electricals- Electric Supply Store,N/A,N/A,N/A,N/A,9314008797,Growel Electricals- Electric Supply Store,Electrician store,
129,India,Jaipur,Sanzari - Best fan and water heater store in Jaipur | Best kitchen appliances store in Jaipur,N/A,N/A,N/A,N/A,9784505200,Sanzari - Best fan and water heater store in Jaipur | Best kitchen appliances store in Jaipur,Store,
130,India,Jaipur,Kishore Electric,N/A,N/A,N/A,N/A,7615079026,Kishore Electric,Electrician store,
131,India,Jaipur,Jaipur Electrical,N/A,N/A,N/A,N/A,1412357317,Jaipur Electrical,Electrician store,
132,India,Jaipur,KAMLA ELECTRICALS,N/A,N/A,N/A,N/A,9414770587,KAMLA ELECTRICALS,Electrician store,
133,India,Jaipur,Shree Electricals And Home Appliances,N/A,N/A,N/A,N/A,9829090923,Shree Electricals And Home Appliances,Electrician store,
134,India,Jaipur,Hitesh Electricals- Electrical Shop,N/A,N/A,N/A,N/A,1412316276,Hitesh Electricals- Electrical Shop,Electrician store,
135,India,Jaipur,Om Shiv Electricals,N/A,N/A,N/A,N/A,8559819924,Om Shiv Electricals,Electrician store,
136,India,Jaipur,Khandelwal Electricals,N/A,N/A,N/A,N/A,9314962067,Khandelwal Electricals,Electrician store,
137,India,Jaipur,Ganpati Electricals And Sanitary Hardware,N/A,N/A,N/A,N/A,7073030741,Ganpati Electricals And Sanitary Hardware,Electrician store,
138,India,Jaipur,Om Shiv Electricals,N/A,N/A,N/A,N/A,8559819924,Om Shiv Electricals,Electrician store,
139,India,Jaipur,Prestige Electrical Industries,N/A,N/A,N/A,N/A,9828156790,Prestige Electrical Industries,Electrician store,
140,India,Jaipur,Rajasthan Electrical & Sanitary,N/A,N/A,N/A,N/A,9351387136,Rajasthan Electrical & Sanitary,Electrician store,
141,India,Jaipur,Wholesale Electrical Items Shop Best Decorative Lights in Jaipur,N/A,N/A,N/A,N/A,9829305799,Wholesale Electrical Items Shop Best Decorative Lights in Jaipur,Lighting products Real Estate,
142,India,Jaipur,Shiv Shankar Electricals,N/A,N/A,N/A,N/A,9314171500,Shiv Shankar Electricals,Electrician store,
143,India,Jaipur,Shree Prakash Electricals,N/A,N/A,N/A,N/A,1414797878,Shree Prakash Electricals,Electrician store,
144,India,Jaipur,Vishnu Electricals,N/A,N/A,N/A,N/A,9829054030,Vishnu Electricals,Electrician store,
145,India,Jaipur,Tanishq Electricals,N/A,N/A,N/A,N/A,9414073902,Tanishq Electricals,Electrician store,
146,India,Jaipur,Jain Electricals,N/A,N/A,N/A,N/A,9352241783,Jain Electricals,Electrician store,
147,India,Jaipur,Rajdhani Electricals & Sanitary,N/A,N/A,N/A,N/A,9829098715,Rajdhani Electricals & Sanitary,Electrician store,
148,India,Jaipur,Kamlesh Nagar & Company,N/A,N/A,N/A,N/A,1414035435,Kamlesh Nagar & Company,Electrician store,
149,India,Jaipur,Maheshwari Electricals,N/A,N/A,N/A,N/A,1412366620,Maheshwari Electricals,Electrician store,
150,India,Jaipur,Manoj Radio & Electricals,N/A,N/A,N/A,N/A,9351495045,Manoj Radio & Electricals,Electrician store,
151,India,Jaipur,Nagar Engineering Company,N/A,N/A,N/A,N/A,9413337970,Nagar Engineering Company,Pump supplier,
152,India,Jaipur,Industrial Sales & Services,N/A,N/A,N/A,N/A,9351612586,Industrial Sales & Services,Electrician store,
153,India,Jaipur,Vikas Pumps Pvt Ltd,N/A,N/A,N/A,N/A,9414075362,Vikas Pumps Pvt Ltd,Electrician store,
154,India,Jaipur,MAYUR ENTERPRISES,N/A,N/A,N/A,N/A,9782616127,MAYUR ENTERPRISES,Electrician store,
155,India,Jaipur,Vinayak Engineers,N/A,N/A,N/A,N/A,9799999403,Vinayak Engineers,Electrician store,
156,India,Jaipur,FINOLEX WIRES Jaipur,N/A,N/A,N/A,N/A,9928096960,FINOLEX WIRES Jaipur,Electrician store,
157,India,Jaipur,Weekend Travel And Tour Services,N/A,N/A,N/A,N/A,9887444234,Weekend Travel And Tour Services,Travel agency,
158,India,Jaipur,Jaipur City Tour & Travel,N/A,N/A,N/A,N/A,9672363632,Jaipur City Tour & Travel,Services,
159,India,Jaipur,CMK Properties & To-let Services Jaipur,N/A,N/A,N/A,N/A,9314878056,CMK Properties & To-let Services Jaipur,Real Estate,
160,India,Jaipur,Jaipur Properties Real Estate Agent,N/A,N/A,N/A,N/A,8209790656,Jaipur Properties Real Estate Agent,Real Estate,
161,India,Jaipur,Rental Property Broker in Jaipur,N/A,N/A,N/A,N/A,8952042832,Rental Property Broker in Jaipur,Real Estate,
162,India,Jaipur,"Wafadar Properties - REAL STATE, PROPERTY DEALER ,PROPERTY IN Jaipur, TO LET SERVIECS, PRATAP NAGAR,JAGATPURA",N/A,N/A,N/A,N/A,9799210174,"Wafadar Properties - REAL STATE, PROPERTY DEALER ,PROPERTY IN Jaipur, TO LET SERVIECS, PRATAP NAGAR,JAGATPURA",Real Estate,
163,India,Jaipur,MK Grocery StoreAL STORE,N/A,N/A,N/A,N/A,9828182221,MK Grocery StoreAL STORE,Store,
164,India,Jaipur,Jain Grocery Storeal Store,N/A,N/A,N/A,N/A,9887175330,Jain Grocery Storeal Store,Grocery Store,
165,India,Jaipur,Narendra Grocery Storeal Store,N/A,N/A,N/A,N/A,7877403021,Narendra Grocery Storeal Store,Medical,
166,India,Jaipur,Gupta Grocery Storeal And Grocery Store,N/A,N/A,N/A,N/A,9413188667,Gupta Grocery Storeal And Grocery Store,Grocery Store,
167,India,Jaipur,Maruti Grocery Storeal Store,N/A,N/A,N/A,N/A,8000587085,Maruti Grocery Storeal Store,Grocery Store,
168,India,Jaipur,Akshita MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,8764223233,Akshita MedicalAnd Grocery Storeal Store,Medical,
169,India,Jaipur,Shyam MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,9875757075,Shyam MedicalAnd Grocery Storeal Store,Medical,
170,India,Jaipur,National Medicaland Grocery Storeal store,N/A,N/A,N/A,N/A,8104493006,National Medicaland Grocery Storeal store,Medical,
171,India,Jaipur,Sanjeevani Grocery Storeal Store,N/A,N/A,N/A,N/A,8078622981,Sanjeevani Grocery Storeal Store,Pharmacy,
172,India,Jaipur,Sharma MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,9782506000,Sharma MedicalAnd Grocery Storeal Store,Pharmacy,
173,India,Jaipur,Jain Grocery Store Store,N/A,N/A,N/A,N/A,9460182938,Jain Grocery Store Store,store,
174,India,Jaipur,Amit Grocery Storeal Store,N/A,N/A,N/A,N/A,8949473386,Amit Grocery Storeal Store,Medical,
175,India,Jaipur,Ashu Kripa MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,9928602464,Ashu Kripa MedicalAnd Grocery Storeal Store,Pharmacy,
176,India,Jaipur,Shree Ram Medicaland Grocery Storeal store,N/A,N/A,N/A,N/A,9521480039,Shree Ram Medicaland Grocery Storeal store,Medical,
177,India,Jaipur,Jai Ram Grocery Storeal Store,N/A,N/A,N/A,N/A,9460186870,Jai Ram Grocery Storeal Store,Pharmacy,
178,India,Jaipur,Disha Medicals & Grocery Storeal Store,N/A,N/A,N/A,N/A,9414210022,Disha Medicals & Grocery Storeal Store,Pharmacy,
179,India,Jaipur,Naina MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,9309478342,Naina MedicalAnd Grocery Storeal Store,Pharmacy,
180,India,Jaipur,Farooquii Grocery Storeal store,N/A,N/A,N/A,N/A,9887861500,Farooquii Grocery Storeal store,Pharmacy,
181,India,Jaipur,Sonali MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,6204037061,Sonali MedicalAnd Grocery Storeal Store,Pharmacy,
182,India,Jaipur,Krishna Grocery Storeal and stationers,N/A,N/A,N/A,N/A,7792921786,Krishna Grocery Storeal and stationers,Services,
183,India,Jaipur,Dipartmental Store Pareek,N/A,N/A,N/A,N/A,7889499051,Dipartmental Store Pareek,Grocery Store,
184,India,Jaipur,Shreenath Grocery Storeal Store,N/A,N/A,N/A,N/A,9782758480,Shreenath Grocery Storeal Store,Store,
185,India,Jaipur,Trident MedicalGeneral And Grocery Storeal Store,N/A,N/A,N/A,N/A,7737720433,Trident MedicalGeneral And Grocery Storeal Store,Medical,
186,India,Jaipur,Tanu Grocery Storeal Store,N/A,N/A,N/A,N/A,9887608102,Tanu Grocery Storeal Store,Medical,
187,India,Jaipur,"Parashar MedicalAnd Grocery Storeal Store,Mahaveer Colony",N/A,N/A,N/A,N/A,7300347870,"Parashar MedicalAnd Grocery Storeal Store,Mahaveer Colony",Pharmacy,
188,India,Jaipur,Naaj Grocery Storeal Store,N/A,N/A,N/A,N/A,9929865761,Naaj Grocery Storeal Store,Pharmacy,
189,India,Jaipur,Khushboo MedicalAnd Grocery Storeal Store,N/A,N/A,N/A,N/A,9166992761,Khushboo MedicalAnd Grocery Storeal Store,Pharmacy,
190,India,Jaipur,Choudhary MedicalAnd Grocery Storeal Stor,N/A,N/A,N/A,N/A,9460612782,Choudhary MedicalAnd Grocery Storeal Stor,Business related,
191,India,Jaipur,Navyug Grocery Storeal Store,N/A,N/A,N/A,N/A,9314874145,Navyug Grocery Storeal Store,Medical,
192,India,Jaipur,Kamla Grocery Storeal Store,N/A,N/A,N/A,N/A,8233029674,Kamla Grocery Storeal Store,Pharmacy,
193,India,Jaipur,Uma MedicalGrocery Storeal Stores,N/A,N/A,N/A,N/A,9829142488,Uma MedicalGrocery Storeal Stores,Pharmacy,
194,India,Jaipur,Jaipur Plywood,N/A,N/A,N/A,N/A,8233793137,Jaipur Plywood,Plywood supplier,
195,India,Jaipur,Choudhary Plywood,N/A,N/A,N/A,N/A,9462043916,Choudhary Plywood,Plywood supplier,
196,India,Jaipur,Lakdiwalas,N/A,N/A,N/A,N/A,7742823411,Lakdiwalas,Plywood supplier,
197,India,Jaipur,GRK Timber And Plywood,N/A,N/A,N/A,N/A,9116611993,GRK Timber And Plywood,Plywood supplier,
198,India,Jaipur,Hindustan Timber And Plywood,N/A,N/A,N/A,N/A,8829958901,Hindustan Timber And Plywood,Plywood supplier,
199,India,Jaipur,Dadashraya Plywood,N/A,N/A,N/A,N/A,9001290016,Dadashraya Plywood,Plywood supplier,
200,India,Jaipur,Jaipur Bikaner Trading Company Agencies,N/A,N/A,N/A,N/A,9414059522,Jaipur Bikaner Trading Company Agencies,Plywood supplier,
201,India,Jaipur,National Hardware House,N/A,N/A,N/A,N/A,9928560890,National Hardware House,Hardware Store,
